customer_age,customer_income,employment_duration,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,loan_default,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E
22,12000.0,7.0,1500.0,14.84,2,0.0,3,0.0,False,False,False,True,False,False,False,False,False,True,False,False
26,260000.0,10.0,28000.0,10.99,10,0.0,3,0.0,False,True,False,False,True,False,False,False,False,False,False,False
25,259000.0,9.0,20000.0,14.42,10,0.0,2,0.0,False,False,False,False,True,False,False,False,False,True,False,False
24,255000.0,9.0,9600.0,6.99,4,0.0,2,0.0,False,False,False,True,False,False,False,False,False,False,False,False
25,250000.0,2.0,25000.0,13.49,10,0.0,4,0.0,False,False,True,False,False,True,False,False,True,False,False,False
25,12000.0,0.0,3000.0,10.99,5,0.0,3,1.0,False,True,False,False,False,True,False,False,True,False,False,False
22,56950.0,6.0,28000.0,10.99,10,0.0,2,0.0,False,False,True,False,False,True,False,False,False,False,False,False
21,12000.0,6.0,3000.0,13.61,1,0.0,3,1.0,False,True,False,True,False,False,False,False,True,False,False,False
23,65000.0,2.0,28000.0,7.9,10,0.0,2,0.0,False,False,True,True,False,False,False,False,False,False,False,False
26,85000.0,2.0,28000.0,7.49,10,0.0,3,0.0,False,False,True,False,False,False,False,True,False,False,False,False
26,12000.0,2.0,6100.0,7.51,6,0.0,3,1.0,False,True,False,True,False,False,False,False,False,False,False,False
22,88000.0,6.0,28000.0,9.91,10,0.0,3,0.0,False,False,True,False,False,False,False,True,False,False,False,False
21,12000.0,0.0,4200.0,13.48,1,0.0,4,1.0,False,True,False,False,False,False,True,False,True,False,False,False
22,12000.0,6.0,4750.0,7.14,2,0.0,2,1.0,False,True,False,False,False,False,False,False,False,False,False,False
24,83004.0,0.0,28000.0,15.99,10,0.0,4,1.0,False,False,True,False,False,False,False,True,False,True,False,False
24,250000.0,2.0,18000.0,12.98,10,0.0,3,0.0,False,False,True,True,False,False,False,False,True,False,False,False
144,250000.0,4.0,4800.0,13.57,4,0.0,3,0.0,False,False,True,False,False,False,False,True,True,False,False,False
25,100000.0,5.0,28000.0,12.69,10,0.0,3,0.0,False,False,True,False,False,False,False,False,False,False,False,False
26,110000.0,10.0,28000.0,8.9,10,0.0,2,0.0,False,False,True,True,False,False,False,False,False,False,False,False
26,12000.0,0.0,2700.0,10.99,6,0.0,4,1.0,False,True,False,False,False,False,False,False,False,False,False,False
22,108000.0,6.0,28000.0,10.99,10,0.0,4,0.0,False,False,True,True,False,False,False,False,False,False,False,False
23,151200.0,7.0,28000.0,11.11,10,0.0,2,0.0,False,False,True,False,False,False,False,False,False,False,False,False
24,69000.0,2.0,27600.0,10.99,10,0.0,2,0.0,False,False,True,False,True,False,False,False,False,False,False,False
21,12000.0,5.0,3250.0,15.68,1,0.0,3,1.0,False,False,False,False,False,False,False,False,False,False,True,False
22,70000.0,4.0,27500.0,13.06,10,0.0,3,1.0,False,False,True,True,False,False,False,False,True,False,False,False
22,240000.0,6.0,25000.0,10.99,10,0.0,2,0.0,False,True,False,False,False,False,True,False,False,False,False,False
26,73200.0,5.0,27050.0,15.62,10,0.0,2,1.0,False,False,True,False,False,False,False,True,False,True,False,False
24,83000.0,5.0,27000.0,13.49,10,0.0,2,1.0,False,False,True,False,False,False,True,False,True,False,False,False
24,73399.0,0.0,27000.0,10.99,10,0.0,3,1.0,False,False,True,False,False,False,False,True,False,True,False,False
23,62500.0,7.0,26000.0,11.71,10,0.0,2,0.0,False,False,True,False,False,True,False,False,False,False,False,False
23,120000.0,1.0,25600.0,12.69,10,0.0,3,0.0,False,False,True,True,False,False,False,False,False,False,False,False
24,12360.0,2.0,1600.0,13.57,4,0.0,3,0.0,False,True,False,False,False,True,False,False,True,False,False,False
22,60000.0,0.0,25475.0,10.99,10,0.0,3,0.0,False,False,True,False,False,False,False,True,False,False,False,False
25,234000.0,3.0,20000.0,14.27,10,0.0,4,0.0,False,False,False,False,False,True,False,False,True,False,False,False
24,234000.0,8.0,20000.0,8.88,10,0.0,4,0.0,False,True,False,False,True,False,False,False,False,False,False,False
26,234000.0,10.0,21600.0,12.18,10,0.0,3,0.0,False,False,False,False,True,False,False,False,False,False,False,False
25,221004.0,6.0,11900.0,14.42,10,0.0,3,1.0,False,False,False,False,False,False,False,False,False,True,False,False
26,232500.0,0.0,25000.0,14.17,10,0.0,2,0.0,False,False,False,False,False,True,False,False,True,False,False,False
25,230000.0,5.0,35000.0,13.99,10,0.0,4,0.0,False,False,False,False,False,True,False,False,True,False,False,False
23,83000.0,7.0,25300.0,10.99,10,0.0,3,0.0,False,False,True,True,False,False,False,False,False,False,False,False
22,12600.0,4.0,2000.0,5.42,2,0.0,4,1.0,False,False,False,False,False,False,True,False,False,False,False,False
25,12600.0,3.0,1750.0,13.61,5,0.0,3,0.0,False,True,False,False,False,False,True,False,True,False,False,False
21,42500.0,3.0,25000.0,12.73,10,0.0,3,1.0,False,False,True,True,False,False,False,False,True,False,False,False
24,41000.0,2.0,25000.0,10.99,10,0.0,3,1.0,False,False,True,False,True,False,False,False,False,True,False,False
25,12816.0,0.0,3000.0,12.87,5,0.0,4,1.0,False,True,False,False,False,False,False,False,True,False,False,False
24,12960.0,1.0,3650.0,9.91,4,0.0,3,1.0,False,False,False,False,True,False,False,False,False,False,False,False
26,226000.0,4.0,20000.0,11.49,10,0.0,4,0.0,False,False,False,False,True,False,False,False,False,False,False,False
25,225000.0,0.0,30000.0,19.91,10,0.0,2,0.0,False,False,False,False,True,False,False,False,False,False,True,False
26,213000.0,6.0,35000.0,10.65,10,0.0,2,1.0,False,False,False,True,False,False,False,False,False,False,False,False
24,225000.0,0.0,6000.0,10.99,4,0.0,4,0.0,False,False,True,False,False,True,False,False,False,False,False,False
24,12960.0,0.0,4500.0,11.83,4,0.0,4,1.0,False,False,False,False,False,False,False,False,False,False,False,False
23,12996.0,0.0,2400.0,13.49,3,0.0,2,1.0,False,True,False,False,False,False,False,False,True,False,False,False
22,42000.0,6.0,25000.0,14.59,10,0.0,2,1.0,False,False,True,False,False,True,False,False,False,True,False,False
26,48000.0,2.0,25000.0,9.64,10,0.0,4,1.0,False,False,True,True,False,False,False,False,True,False,False,False
25,12996.0,1.0,3600.0,14.59,5,0.0,3,1.0,False,True,False,False,False,True,False,False,False,True,False,False
22,12996.0,1.0,4750.0,10.99,2,0.0,3,1.0,False,True,False,True,False,False,False,False,False,False,False,False
25,42360.0,1.0,25000.0,16.35,10,0.0,3,1.0,False,False,True,True,False,False,False,False,False,False,True,False
21,49000.0,4.0,25000.0,10.99,10,0.0,2,1.0,False,False,True,True,False,False,False,False,True,False,False,False
25,225000.0,0.0,25000.0,18.67,10,0.0,2,0.0,False,False,False,False,False,False,False,True,False,False,False,True
26,225000.0,1.0,3000.0,9.32,6,0.0,4,0.0,False,False,True,True,False,False,False,False,False,False,False,False
23,225000.0,8.0,7500.0,8.63,3,0.0,2,0.0,False,False,True,False,False,False,False,False,False,False,False,False
26,225000.0,2.0,25000.0,10.08,10,0.0,2,0.0,False,False,False,False,False,False,False,True,False,False,False,False
22,49464.0,5.0,25000.0,11.83,10,0.0,3,1.0,False,False,True,False,False,False,True,False,True,False,False,False
23,50000.0,1.0,25000.0,7.9,10,0.0,3,0.0,False,False,True,False,False,False,False,False,False,False,False,False
25,50000.0,4.0,25000.0,5.99,10,0.0,2,1.0,False,False,True,False,True,False,False,False,False,False,False,False
24,44000.0,2.0,25000.0,15.33,10,0.0,2,1.0,False,False,True,False,False,False,False,False,False,True,False,False
23,50000.0,1.0,25000.0,11.83,10,0.0,4,0.0,False,False,True,False,False,False,False,True,False,False,False,False
22,50004.0,0.0,25000.0,10.36,10,0.0,2,0.0,False,False,True,False,False,False,False,True,False,False,False,False
22,50004.0,3.0,25000.0,12.23,10,0.0,3,1.0,False,False,True,False,False,False,False,True,True,False,False,False
22,52000.0,2.0,25000.0,11.11,10,0.0,4,0.0,False,False,True,True,False,False,False,False,False,False,False,False
23,13200.0,3.0,4950.0,7.9,3,0.0,4,1.0,False,True,False,False,False,False,False,False,False,False,False,False
24,220000.0,1.0,25000.0,11.58,10,0.0,2,0.0,False,False,False,True,False,False,False,False,False,False,False,False
23,216000.0,5.0,21000.0,8.9,10,0.0,3,0.0,False,False,False,False,False,False,False,False,False,False,False,False
25,216000.0,2.0,25000.0,16.07,10,0.0,3,0.0,False,False,False,True,False,False,False,False,False,True,False,False
26,216000.0,10.0,20000.0,14.22,10,0.0,2,0.0,False,False,False,True,False,False,False,False,True,False,False,False
23,215000.0,7.0,35000.0,14.79,10,0.0,3,0.0,False,False,False,False,False,True,False,False,True,False,False,False
26,215000.0,11.0,12000.0,7.88,10,0.0,2,0.0,False,False,False,True,False,False,False,False,False,False,False,False
23,52000.0,1.0,25000.0,13.22,10,0.0,2,1.0,False,False,True,False,False,False,True,False,True,False,False,False
26,46000.0,2.0,25000.0,11.86,10,0.0,4,1.0,False,False,True,False,False,False,False,False,False,True,False,False
22,53000.0,5.0,25000.0,13.43,10,0.0,4,1.0,False,False,True,True,False,False,False,False,True,False,False,False
26,47000.0,0.0,25000.0,15.28,10,0.0,2,1.0,False,False,True,False,True,False,False,False,False,True,False,False
23,47000.0,1.0,25000.0,17.93,10,0.0,2,1.0,False,False,True,False,False,False,False,True,False,False,True,False
23,13200.0,2.0,1400.0,9.25,3,0.0,4,0.0,False,False,False,True,False,False,False,False,False,False,False,False
21,13200.0,0.0,4500.0,12.98,1,0.0,4,1.0,False,True,False,False,False,False,False,True,True,False,False,False
22,210000.0,6.0,16000.0,10.62,10,0.0,4,0.0,False,False,False,False,False,False,False,True,False,False,False,False
26,210000.0,10.0,22000.0,11.83,10,0.0,4,0.0,False,True,False,False,False,False,True,False,False,False,False,False
26,48000.0,5.0,25000.0,18.43,10,0.0,2,1.0,False,False,True,False,False,False,False,True,False,False,False,True
22,54996.0,6.0,25000.0,10.99,10,0.0,4,0.0,False,False,True,True,False,False,False,False,False,False,False,False
24,55000.0,4.0,25000.0,10.99,10,0.0,4,1.0,False,False,True,False,True,False,False,False,False,True,False,False
23,55000.0,4.0,25000.0,11.36,10,0.0,3,0.0,False,False,True,True,False,False,False,False,False,False,False,False
23,55000.0,4.0,25000.0,15.65,10,0.0,3,1.0,False,False,True,True,False,False,False,False,False,True,False,False
24,55164.0,8.0,25000.0,13.22,10,0.0,4,1.0,False,False,True,False,False,False,True,False,True,False,False,False
26,56000.0,4.0,25000.0,12.87,10,0.0,2,1.0,False,False,True,False,False,False,False,False,True,False,False,False
24,203500.0,8.0,20000.0,13.04,10,0.0,3,0.0,False,True,False,False,False,True,False,False,True,False,False,False
23,190000.0,5.0,22000.0,17.58,10,0.0,3,1.0,False,False,False,True,False,False,False,False,False,False,False,True
23,13920.0,2.0,7750.0,17.04,3,0.0,4,1.0,False,True,False,False,False,False,True,False,False,False,True,False
24,60000.0,0.0,25000.0,10.99,10,0.0,3,1.0,False,False,True,False,False,False,True,False,False,False,False,False
24,60000.0,2.0,25000.0,11.11,10,0.0,3,1.0,False,False,True,False,False,False,True,False,False,False,False,False
26,54000.0,7.0,25000.0,14.83,10,0.0,2,1.0,False,False,True,False,False,False,False,False,False,True,False,False
23,14000.0,2.0,4000.0,10.99,3,0.0,3,1.0,False,True,False,False,False,False,False,False,False,True,False,False
24,200000.0,8.0,12000.0,12.69,10,0.0,2,0.0,False,False,True,False,False,True,False,False,False,False,False,False
24,200000.0,8.0,12000.0,13.49,10,0.0,2,0.0,False,False,False,False,True,False,False,False,True,False,False,False
21,200000.0,5.0,16000.0,14.65,10,0.0,4,0.0,False,False,False,True,False,False,False,False,True,False,False,False
25,54000.0,3.0,25000.0,16.82,10,0.0,4,1.0,False,False,True,False,True,False,False,False,False,False,True,False
23,60000.0,3.0,25000.0,12.73,10,0.0,3,1.0,False,False,True,False,False,False,True,False,True,False,False,False
23,60000.0,7.0,25000.0,10.25,10,0.0,4,1.0,False,False,True,False,False,False,True,False,False,False,False,False
21,60000.0,6.0,25000.0,10.99,10,0.0,4,1.0,False,False,True,True,False,False,False,False,False,False,False,False
25,61959.0,9.0,25000.0,12.73,10,0.0,2,1.0,False,False,True,False,False,True,False,False,True,False,False,False
22,56400.0,2.0,25000.0,14.96,10,0.0,3,1.0,False,False,True,False,True,False,False,False,False,True,False,False
23,200000.0,7.0,28000.0,10.99,10,0.0,2,0.0,False,False,False,True,False,False,False,False,False,False,False,False
21,200000.0,2.0,25000.0,13.99,10,0.0,2,0.0,False,False,False,False,False,False,False,False,True,False,False,False
24,200000.0,3.0,24000.0,7.49,10,0.0,4,0.0,False,False,False,False,False,False,False,True,False,False,False,False
26,200000.0,4.0,15000.0,14.79,10,0.0,3,0.0,False,False,False,True,False,False,False,False,True,False,False,False
25,200000.0,2.0,15500.0,11.99,10,0.0,2,0.0,False,False,False,False,False,False,False,False,False,False,False,False
24,200000.0,8.0,10000.0,8.49,4,0.0,4,0.0,False,False,True,True,False,False,False,False,False,False,False,False
24,66000.0,3.0,25000.0,9.91,10,0.0,2,1.0,False,False,True,True,False,False,False,False,False,False,False,False
22,66000.0,6.0,25000.0,13.06,10,0.0,3,1.0,False,False,True,True,False,False,False,False,True,False,False,False
22,200000.0,6.0,9000.0,6.17,2,0.0,4,0.0,False,False,False,False,False,False,False,False,False,False,False,False
144,200000.0,4.0,6000.0,11.86,4,0.0,2,0.0,False,False,False,True,False,False,False,False,False,False,False,False
25,200000.0,5.0,18000.0,16.32,10,0.0,3,0.0,False,False,True,True,False,False,False,False,False,True,False,False
25,200000.0,2.0,12000.0,10.38,10,0.0,2,0.0,False,False,False,False,False,False,False,True,False,False,False,False
25,200000.0,9.0,23050.0,14.35,10,0.0,3,0.0,False,False,False,False,False,False,True,False,True,False,False,False
24,200000.0,8.0,20000.0,10.99,10,0.0,3,0.0,False,False,False,False,False,False,False,False,False,False,False,False
24,60000.0,2.0,25000.0,10.99,10,0.0,2,1.0,False,False,True,False,False,False,False,False,False,False,True,False
21,14400.0,0.0,3000.0,10.99,1,0.0,4,1.0,False,True,False,False,True,False,False,False,False,False,False,False
26,66996.0,10.0,25000.0,15.21,10,0.0,2,1.0,False,False,True,False,False,False,True,False,False,True,False,False
23,67000.0,3.0,25000.0,7.9,10,0.0,4,1.0,False,False,True,True,False,False,False,False,False,False,False,False
24,67000.0,2.0,25000.0,10.99,10,0.0,3,1.0,False,False,True,False,False,False,False,True,False,False,False,False
24,68000.0,5.0,25000.0,14.09,10,0.0,3,1.0,False,False,True,False,False,False,True,False,False,True,False,False
25,69000.0,9.0,25000.0,17.49,10,0.0,2,1.0,False,False,True,False,False,False,True,False,False,True,False,False
25,200000.0,0.0,12000.0,11.48,10,0.0,3,0.0,False,False,False,True,False,False,False,False,False,False,False,False
26,188000.0,10.0,20000.0,17.74,10,0.0,2,1.0,False,False,False,False,False,False,False,True,False,False,True,False
26,200000.0,4.0,3000.0,13.92,6,0.0,3,0.0,False,False,False,False,False,False,True,False,True,False,False,False
25,69996.0,9.0,25000.0,15.21,10,0.0,3,1.0,False,False,True,True,False,False,False,False,False,True,False,False
22,14400.0,2.0,4000.0,10.99,2,0.0,3,1.0,False,True,False,False,False,True,False,False,False,False,False,False
24,70000.0,3.0,25000.0,11.86,10,0.0,4,1.0,False,False,True,True,False,False,False,False,False,False,False,False
24,14400.0,5.0,6000.0,7.49,4,0.0,3,1.0,False,True,False,False,False,False,True,False,False,False,False,False
24,56100.0,7.0,25000.0,16.49,10,0.0,4,1.0,False,False,True,False,False,True,False,False,False,True,False,False
25,66000.0,9.0,25000.0,15.33,10,0.0,2,1.0,False,False,True,False,False,False,False,True,False,True,False,False
26,66000.0,3.0,25000.0,11.58,10,0.0,4,1.0,False,False,True,False,True,False,False,False,False,False,False,False
25,14400.0,7.0,5375.0,5.79,5,0.0,2,1.0,False,True,False,True,False,False,False,False,False,False,False,False
25,72612.0,9.0,25000.0,13.11,10,0.0,2,1.0,False,False,True,False,False,True,False,False,True,False,False,False
23,74000.0,3.0,25000.0,10.36,10,0.0,3,1.0,False,False,True,False,False,True,False,False,False,False,False,False
25,75000.0,9.0,25000.0,10.36,10,0.0,2,1.0,False,False,True,False,False,False,False,False,False,False,False,False
24,192000.0,0.0,22000.0,10.99,10,0.0,2,0.0,False,False,True,False,False,True,False,False,True,False,False,False
21,192000.0,123.0,20000.0,6.54,10,0.0,4,0.0,False,False,False,False,False,False,False,True,False,False,False,False
25,191000.0,1.0,10000.0,12.53,5,0.0,4,0.0,False,False,False,False,False,True,False,False,False,False,False,False
26,190300.0,5.0,15000.0,10.99,10,0.0,3,0.0,False,False,False,False,False,False,True,False,False,False,False,False
22,190000.0,3.0,10000.0,10.99,2,0.0,3,0.0,False,False,False,False,False,False,False,True,True,False,False,False
24,75000.0,4.0,25000.0,10.25,10,0.0,4,1.0,False,False,True,True,False,False,False,False,False,False,False,False
22,71000.0,1.0,25000.0,15.95,10,0.0,4,1.0,False,False,True,True,False,False,False,False,False,True,False,False
26,190000.0,3.0,20000.0,12.18,10,0.0,4,0.0,False,False,False,False,False,False,False,True,False,False,False,False
23,189996.0,0.0,24000.0,11.83,10,0.0,3,0.0,False,True,False,False,False,False,True,False,False,False,False,False
23,78000.0,1.0,25000.0,10.62,10,0.0,3,1.0,False,False,True,False,False,False,False,True,False,False,False,False
23,78504.0,7.0,25000.0,10.74,10,0.0,3,1.0,False,False,True,False,False,False,False,True,False,False,False,False
25,186000.0,9.0,10000.0,10.25,5,0.0,4,0.0,False,True,False,False,False,False,False,True,False,False,False,False
24,185000.0,4.0,35000.0,12.42,10,0.0,2,0.0,False,False,False,True,False,False,False,False,False,False,False,False
25,185000.0,6.0,15000.0,15.27,10,0.0,2,0.0,False,False,True,False,False,False,False,True,True,False,False,False
24,62050.0,8.0,25000.0,15.33,10,0.0,2,1.0,False,False,True,False,False,True,False,False,False,True,False,False
23,79416.0,7.0,25000.0,15.21,10,0.0,2,1.0,False,False,True,False,False,False,False,True,False,True,False,False
21,14400.0,4.0,6250.0,14.72,1,0.0,2,1.0,False,True,False,False,False,False,False,True,True,False,False,False
24,79631.0,8.0,25000.0,15.7,10,0.0,2,1.0,False,False,True,False,False,False,True,False,False,True,False,False
24,79632.0,0.0,25000.0,13.35,10,0.0,4,1.0,False,False,True,True,False,False,False,False,True,False,False,False
21,14400.0,0.0,1500.0,10.99,1,0.0,4,0.0,False,False,False,False,False,True,False,False,True,False,False,False
24,80000.0,6.0,25000.0,6.62,10,0.0,2,1.0,False,False,True,True,False,False,False,False,False,False,False,False
26,80000.0,5.0,25000.0,13.61,10,0.0,4,1.0,False,False,True,False,False,False,False,False,True,False,False,False
22,185000.0,4.0,25000.0,11.36,10,0.0,2,0.0,False,False,True,False,False,True,False,False,False,False,False,False
26,185000.0,10.0,5000.0,7.68,6,0.0,2,0.0,False,True,False,False,False,False,True,False,False,False,False,False
24,184992.0,7.0,22000.0,14.46,10,0.0,4,0.0,False,False,True,False,True,False,False,False,False,True,False,False
23,184000.0,5.0,2500.0,11.83,3,0.0,2,0.0,False,True,False,True,False,False,False,False,False,False,False,False
24,172000.0,6.0,20000.0,13.47,10,0.0,4,1.0,False,False,False,False,False,False,False,False,True,False,False,False
24,183000.0,2.0,20000.0,11.49,10,0.0,3,0.0,False,False,False,False,False,True,False,False,False,False,False,False
22,183000.0,3.0,1000.0,10.99,2,0.0,2,0.0,False,False,False,True,False,False,False,False,False,False,False,False
25,182952.0,9.0,15000.0,6.03,10,0.0,3,0.0,False,False,False,False,False,False,True,False,False,False,False,False
23,74004.0,7.0,25000.0,16.35,10,0.0,4,1.0,False,False,True,False,False,False,False,False,False,False,True,False
26,74004.0,10.0,25000.0,10.99,10,0.0,4,1.0,False,False,True,False,False,False,False,False,False,True,False,False
25,81000.0,5.0,25000.0,7.29,10,0.0,3,1.0,False,False,True,False,False,False,False,False,False,False,False,False
23,81600.0,1.0,25000.0,11.36,10,0.0,3,1.0,False,False,True,False,False,True,False,False,False,False,False,False
